1,First person (speaker)
DUPLIC,Duplicative
DUR,Durative aspect
DYN,Dynamic aspect
DYNM,Dynamic aspect
EL,Elative case (out of)
ELA,Elative case (out of)
ELAT,Elative case (out of)
EMP,Emphatic; emphasizer
EMPH,Emphatic; emphasizer
EP,Epenthetic morpheme; epenthetical
EPIT,Epithet
ESS,Essive case
EVIT,Evitative case
EX,Exclusive person
EXAL,Exaltive; deferential (high-status register )
EXC,Exclusive person
EXCL,Exclusive
EXCLAM,Exclamative
EXESS,Exessive case
EXIST,Existential (there is)
EXO,Exocentric case
EXP,Experiential; eyewitness; direct evidential
EXPR,Expressive
EXST,Existential (there is)
EXT,Extended aspect; extendible
FAC,Factive
FACT,Factive
FAM,Familiar; familiar register
FEM,Feminine gender
FIN,Finite verb
FOC,Focus
FPRT,Future participle
FRACT,Fraction; fractional (numeral)
FREQ,Frequentative aspect
FRQ ,Frequentative aspect
FRUS,Frustrative
FRUST,Frustrative
FS,False start
FUNC,Functive case
GER,Gerund; gerundive
GF,Goal focus
GIV,Given
GNO,Gnomic (generic) aspect
GNOMIC,Gnomic (generic) aspect
GNT,General tense
GT,Goal trigger
HAB,Habitual aspect
HABIT,Habitual aspect
HBL,Habilitive
HES,Hesitation; hesitation particle
HEST,Hesternal tense (yesterday)
HIST,Historic(al) tense
HML,Humiliative (humble/low-status register )
HOD,Hodiernal tense
HON,Honorific
HORT,Hortative
HRS,Hearsay; reported evidential
HYP,Hypothetical mood
HYPO,Hypothetical mood
IAM,Iamitive
IC,Involuntary causative
ICOM,Involuntary comitative
IDEO,Ideophone
IDEOPH,Ideophone
IDPH,Ideophone
IF,Instrument focus
IFUT,Indefinite future
IGNOR,Ignorative
ILL,Illative case (into)
ILLA,Illative case (into)
IMMED,Immediate past
IMP,Imperative mood
IMPER,Imperative mood
IMPF,Imperfect
IMPOSS,Modal impossibility
IMPR,Imprecative mood
IN,Inclusive person
INAB,Impotential
INABL,Inablative
INACT,Inactive
INAL,Inalienable possession
INANIM,Inanimate gender
INC,Inclusive person
INCEP,Inceptive aspect
INCH,Inchoative aspect
INCHO,Inchoative aspect
INCL,Inclusive
IND,Indicative
INDET,Indeterminate
INDF,Indefinite
INDEF,Indefinite
INDIC,Indicative mood
INDIR,Indirect; indirective
INEL,Inelative case (from within)
INESS,Inessive case (in)
INF,Infinitive
INFER,Inferential mood
INFL,Inflectional
INFR,Inferential mood
ING,Ingressive case
INS,Instrumental
INTENS,Intensifier; intensive
INTENTV,Intentive
INTER,Interrogative
INTERESS,Interessive
INTERJ,Interjection
INTERP,Interpellative mood
INTJ,Interjection
INTL,Intentional
INTR,Intransitive
INTRV,Introversive
INTS,Intensifier; intensive
INTV,Intentive
INV,Inverse
INVOL,Involuntative; involitive
IO,Indirect object (ive)
IOBJ,Indirect object
IP,Immediate past
IPFV,Imperfective
IRR,Irrealis
ITER,Iterative aspect
JUS,Jussive mood
KIN,Kinship affix
LIM,Limitative
MASC,Masculine gender
MID,Middle voice; medio-passive
MIT,Mitigation
MOM,Momentane (single-event verb)
NARR,Narrative tense
NEC,Necessitative
NFIN,Non-finite
NH,Non-human
NMLZ,Nominalizer; nominalization
NUM,Numeral; numerative
NVEXP,Nonvisual experiential (evidential)
O,Object(ive)
OBLIG,Obligative mood
OBV,Obviative
OFC,Object focus
ONOM,Onomatopoeia
ORD,Ordinal numeral
PASS,Passive voice
PAU,Paucal number
PAUS,Pausal
PEG,Pegative case (a special case for the giver)
PERFV,Perfective aspect
PERL,Perlative case
PF,Patient focus; patient voice
PFV,Perfective aspect
PLUP,Pluperfect
PLUR,Pluractional
POL,Polite register
POSB,Possible; modal possibility
PPFV,Past perfective (= perfect)
PQP,Polar question particle
PREC,Precative mood (requests)
PRED,Predicative affix; predicative
PREP,Preposition; prepositional case
PRF,Perfect
PROG,Progressive aspect
PROH,Prohibitive mood (do not!)
PROP,Proprietive case
PST,Past tense
PTCP,Participle
PTV,Partitive case
PURP,Purposive case
PVB,Preverb
QUOT,Quotative
RECP,Reciprocal voice
RED,Reduplication
REDUP,Reduplication
REF,Referential
REFL,Reflexive ( reflexive pronoun; reflexive voice )
REL,Relative clause marker
REM,Remote
REP,Repetitive aspect
RES,Resultative
RESP,Respect
RPRT,Reported evidential
RQ,Rhetorical question
S,Single argument of canonical intransitive verb
SBJ,Subject; subject agreement
SCEP,Sceptical
SEM,Semelfactive aspect (once)
SENS,Sensory evidential mood
SIM,Simultaneous aspect; simultaneity
SJV,Subjunctive mood
SPECL,Speculative mood
STAT,Stative aspect
SUB,Sublocative (under)
SUBL,Sublative case (onto; down onto)
SUG,Suggestive mood
SUPEL,Superelative case (on)
SUPL,Superlative
TENT,Tentative
TOP,Topic marker
TRI,Trial number
UF,Uncertain future
UH,Uphill; inland
UNCERT,Uncertain mood
UR,Upriver
UWPST,Unwitnessed past
VAL,Valency increasing; valence marker
VBLZR,Verbalizer
VEG,Vegetable (food) gender
VEN,Venitive (coming towards; andative)
VENT,Ventive; ventitive
VERT,Vertical
VIA,Vialis case
VN,Verbal noun
VOC,Vocative case
VOL,Volitive mood; volitional
WH,Interrogative pronoun
WHQ,Wh- question
WIT,Witnessed evidential
WP,Witnessed past
WPST,Witnessed past
YNQ,Yes–no question
