1,first person (speaker)
EXCLAM,exclamative
EXESS,exessive case
EXIST,existential (there is)
EXO,exocentric case
EXP,experiential; eyewitness; direct evidential
EXPR,expressive
EXST,existential (there is)
EXT,extended aspect; extendible
FACT,factive
FAM,familiar; familiar register
FEM,feminine gender
FIN,finite verb
FOC,focus
FPRT,future participle
FRACT,fraction; fractional (numeral)
FREQ,frequentative aspect
FRQ ,frequentative aspect
FRUS,frustrative
FRUST,frustrative
FS,false start
FUNC,functive case
GER,gerund; gerundive
GF,goal focus
GIV,given
GNO,gnomic (generic) aspect
GNOMIC,gnomic (generic) aspect
GNT,general tense
GT,goal trigger
HAB,habitual aspect
HABIT,habitual aspect
HBL,habilitive
HES,hesitation; hesitation particle
HEST,hesternal tense (yesterday)
HIST,historic(al) tense
HML,humiliative (humble/low-status register)
HOD,hodiernal tense
HON,honorific
HORT,hortative
HRS,hearsay; reported evidential
HYP,hypothetical mood
HYPO,hypothetical mood
IAM,iamitive
IC,involuntary causative
ICOM,involuntary comitative
IDEO,ideophone
IDEOPH,ideophone
IDPH,ideophone
IF,instrument focus
IFUT,indefinite future
IGNOR,ignorative
ILL,illative case (into)
ILLA,illative case (into)
IMMED,immediate past
IMP,imperative mood
IMPER,imperative mood
IMPF,imperfect
IMPOSS,modal impossibility
IMPR,imprecative mood
IN,inclusive person
INAB,impotential
INABL,inablative
INACT,inactive
INAL,inalienable possession
INANIM,inanimate gender
INC,inclusive person
INCEP,inceptive aspect
INCH,inchoative aspect
INCHO,inchoative aspect
INCL,inclusive
IND,indicative
INDET,indeterminate
INDF,indefinite
INDEF,indefinite
INDIC,indicative mood
INDIR,indirect; indirective
INEL,inelative case (from within)
INESS,inessive case (in)
INF,infinitive
INFER,inferential mood
INFL,inflectional
INFR,inferential mood
ING,ingressive case
INS,instrumental
INTENS,intensifier; intensive
INTENTV,intentive
INTER,interrogative
INTERESS,interessive
INTERJ,interjection
INTERP,interpellative mood
INTJ,interjection
INTL,intentional
INTR,intransitive
INTRV,introversive
INTS,intensifier; intensive
INTV,intentive
INV,inverse
INVOL,involuntative; involitive
IO,indirect object (ive)
IOBJ,indirect object
IP,immediate past
IPFV,imperfective
IRR,irrealis
ITER,iterative aspect
JUS,jussive mood
LIM,limitative
MASC,masculine gender
MID,middle voice; medio-passive
MIT,mitigation
MOM,momentane (single-event verb)
NARR,narrative tense
NEC,necessitative
NFIN,non-finite
NH,non-human
NMLR,nominaliser; nominalisation
NUM,numeral; numerative
NVEXP,nonvisual experiential (evidential)
O,object(ive)
OBLIG,obligative mood
OBJ,object(ive)
OBV,obviative
OFC,object focus
ONOM,onomatopoeia
ORD,ordinal numeral
PASS,passive voice
PAU,paucal number
PAUS,pausal
PEG,pegative case (a special case for the giver)
PERFV,perfective aspect
PERL,perlative case
PF,patient focus; patient voice
PFV,perfective aspect
PLUP,pluperfect
PLUR,pluractional
POL,polite register
POSB,possible; modal possibility
PPFV,past perfective
PQP,polar question particle
PREC,precative mood (requests)
PRED,predicative affix; predicative
PREP,preposition; prepositional case
PRF,perfect
PROG,progressive aspect
PROH,prohibitive mood (do not!)
PROP,proprietive case
PST,past tense
PTCP,participle
PTV,partitive case
PURP,purposive case
PVB,preverb
QUOT,quotative
RECP,reciprocal voice
RED,reduplication
REDUP,reduplication
REF,referential
REFL,reflexive (reflexive pronoun; reflexive voice)
REL,relative clause marker
REM,remote
REP,repetitive aspect
RES,resultative
RESP,respect
RPRT,reported evidential
RQ,rhetorical question
SBJ,subject; subject agreement
SCEP,sceptical
SEM,semelfactive aspect (once)
SENS,sensory evidential mood
SIM,simultaneous aspect; simultaneity
SJV,subjunctive mood
SPECL,speculative mood
STAT,stative aspect
SUB,sublocative (under)
SUBL,sublative case (onto; down onto)
SUG,suggestive mood
SUPEL,superelative case (on)
SUPL,superlative
TENT,tentative
TOP,topic marker
TRI,trial number
UF,uncertain future
UH,uphill; inland
UNCERT,uncertain mood
UR,upriver
UWPST,unwitnessed past
VAL,valency increasing; valence marker
VERBR,verbaliser
VEG,vegetable (food) gender
VEN,venitive (coming towards; andative)
VENT,ventive; ventitive
VERT,vertical
VIA,vialis case
VN,verbal noun
VOC,vocative case
VOL,volitive mood; volitional
WH,interrogative pronoun
WHQ,wh- question
WIT,witnessed evidential
WP,witnessed past
WPST,witnessed past
YNQ,yes-no question
DETR,detransitiviser
ER,ergative
EXH,exhortative
HSY,hearsay
MAL,malefactive
PDS,previous different subject
FRUSTR,frustrative
FDS ,subsequent different subject
FSSI,subsequent same subject intransitive
FSST,subsequent same subject transitive
PSSI,previous same subject intransitive
PSST,previous same subject transitive
SDS,simultaneous different subject
SSSI,simultaneous same subject intransitive
SSST,simultaneous same subject transitive
AB,absolutive
ANTIAPP,aniapplicative
TCV,temporal converb
PFVCVB,perfective converb
AS,aseverative
2POSS,second person possessive
3POSS,second person possessive
1POSS,first person possessive
PSR,possessor
SDS,simultaneous event different subject
SE,same event
SS,same-subject
U,uninflected
UC,upcoast
RLN,relational
SBEN,self-benefactive
PERSE,personal experience
EXPECT,expectational
